name,address,price,comment
悦海堂茶府,'茶馆|东升镇',人均,条评价
顺馨居茶楼,'茶馆|华阳',人均,'3'条评价
壹盏茗茶,'茶馆|华阳',人均,条评价
祥特茶楼,'茶馆|东升镇',人均,'3'条评价
茗都汇茶坊,'茶馆|天府新区',人均,'7'条评价
尚饮茶坊,'茶馆|华阳',人均,'2'条评价
锦鑫茶楼机麻,'茶馆|双流区其他',人均,条评价
勐巴拉御木阁,'茶馆|华阳',人均,条评价
茶故事茶楼,'茶馆|双流万达',人均,'3'条评价
尚合茶楼,'茶馆|双流万达',人均,'4'条评价
九禾茶楼,'茶馆|东升镇',人均,条评价
沁心茶楼(朝阳路店),'茶馆|中和',人均,'2'条评价
合枫茶楼,'茶馆|华阳',人均,'6'条评价
佳韵茶府,'茶馆|航空港',人均,'3'条评价
悦茗茶府(龙桥店),'茶馆|东升镇',人均,条评价
茗仁茶府,'茶馆|蛟龙港/海滨城',人均,条评价
龙润茶,'茶馆|东升镇',人均,'8'条评价
棠湖茶楼,'茶馆|航空港',人均,条评价
老茶新馆,'茶馆|华阳',人均,'4'条评价
泉颐茶楼,'茶馆|蛟龙港/海滨城',人均,条评价
澜香居,'茶馆|东升镇',人均,条评价
印象茶馆,'茶馆|航空港',人均,条评价
锦熹 花园茶,'茶馆|华阳',人均,'2'条评价
上善茶舍,'茶馆|中和',人均,'4'条评价
明诚堂茶馆(人防广场店),'茶馆|东升镇',人均,'7'条评价
熙和茶楼,'茶馆|东升镇',人均,'7'条评价
麻缘茶楼,'茶馆|华阳',人均,条评价
品鉴,'茶馆|天府新区',人均,'5'条评价
紫薇茶楼(锦绣华都路店),'茶馆|东升镇',人均,'2'条评价
闲德轩,'茶馆|中和',人均,'7'条评价
御都茶府,'茶馆|东升镇',人均,条评价
水天一色茶艺会所,'茶馆|华阳',人均,'3'条评价
跨界茶府,'茶馆|华阳',人均,条评价
阳光茶府(楠域丽景东北店),'茶馆|华阳',人均,'4'条评价
老地方茶馆,'茶馆|双流区其他',人均,条评价
水木茶府,'茶馆|华阳',人均,'3'条评价
鑫富之源茶楼,'茶馆|东升镇',人均,'4'条评价
清雅茶坊,'茶馆|双流区其他',人均,'5'条评价
清雅轩茶坊,'茶馆|东升镇',人均,'3'条评价
锦绣缘茶楼,'茶馆|东升镇',人均,'3'条评价
单钩单线,'茶馆|天府新区',人均,'9'条评价
蜀镇大茶楼,'茶馆|双流区其他',人均,'4'条评价
千里之外茶楼,'茶馆|天府新区',人均,条评价
龙渡茶楼,'茶馆|蛟龙港/海滨城',人均,'2'条评价
虹昇茶府,'茶馆|东升镇',人均,条评价
菩然茶府,'茶馆|中和',人均,条评价
麓上春茗茶府,'茶馆|天府新区',人均,条评价
麓和汇,'茶馆|华阳',人均,条评价
古蘭仙馆,'茶馆|航空港',人均,条评价
吴姐茶铺,'茶馆|东升镇',人均,条评价
御都茶府(东寺北二路店),'茶馆|天府新区',人均,条评价
大圣茶楼(乐奕二店),'茶馆|华阳',人均,条评价
双流超女茶铺,'茶馆|东升镇',人均,条评价
聚贤茶莊,'茶馆|中和',人均,条评价
橡树茶楼,'茶馆|航空港',人均,'6'条评价
天艺茶楼,'茶馆|东升镇',人均,条评价
君悦茶府,'茶馆|城南优品道广场',人均,条评价
小康茶坊,'茶馆|东升镇',人均,条评价
鑫中茶都,'茶馆|华阳',人均,条评价
御庭阁茶府,'茶馆|中和',人均,'4'条评价
石竹轩(棠湖北路店),'茶馆|东升镇',人均,条评价
竹雨轩茶楼,'茶馆|天府新区',人均,'3'条评价
枫月茶庄,'茶馆|天府新区',人均,条评价
正通茶府,'茶馆|东升镇',人均,条评价
万豪商务茶楼,'茶馆|东升镇',人均,条评价
晓红茶楼(正北中街店),'茶馆|华阳',人均,条评价
林语茶府,'茶馆|双流万达',人均,条评价
清怡阁茶楼,'茶馆|航空港',人均,条评价
水调歌头茶坊(正大街店),'茶馆|华阳',人均,条评价
鸿运茶楼,'茶馆|东升镇',人均,'2'条评价
清怡阁茶楼(临港路店),'茶馆|航空港',人均,条评价
印象茶楼,'茶馆|航空港',人均,'7'条评价
聚缘茶楼(空港四路店),'茶馆|四川现代职业学院',人均,条评价
广场茶坊,'茶馆|东升镇',人均,'2'条评价
牧春茶楼,'茶馆|华阳',人均,条评价
茗欣缘茶府,'茶馆|天府新区',人均,条评价
祥瑞茶府,'茶馆|奥特莱斯',人均,条评价
古邦茶坊,'茶馆|中和',人均,条评价
